strategy,nr_events,stream_config.spread,stream_config.offset,bytes,window.size,window.slide,window.offset,nr_windows,thr_mean,thr_median,ns_mean,ns_median,thr_std_dev,mem_total,reserve
clone,5000,1,1,0,5000,5000,0,3,53569345.13334075,51991259.42020954,93775.83175411368,96170.01204710145,4066857.0730819497,0,5000
slice,5000,1,1,0,5000,5000,0,3,54504999.28116292,53300210.976246394,92158.70760589647,93808.33614133051,4007931.3625079677,0,5000
rc,5000,1,1,0,5000,5000,0,30,8323151.719989888,8360506.033286041,601431.6074989386,598049.9511554622,266181.74408596364,160000,5000
legacy,5000,1,1,0,5000,5000,0,30,21442.926084676674,21346.492751207912,233233591.4,234230749.0,343.458313589656,11192075850,5000
arc,5000,1,1,0,5000,5000,0,30,8337476.259958758,8373822.978740739,601061.9397134157,597099.5,362064.587563878,160000,5000
clone,5000,1,1,0,5000,5000,0,30,13636743.935169624,13730771.31757945,367652.9601586794,364145.6357142857,635004.2196521589,0,5000
slice,5000,1,1,0,5000,5000,0,30,13566889.432960331,13682911.33476578,369327.5477745416,365419.5897108844,570777.3406584733,0,5000
rc,5000,1,1,0,5000,5000,0,31,8080923.928614236,8119170.055157558,619618.0927431098,615826.4919786096,284086.5361754011,160000,5000
legacy,5000,1,1,0,5000,5000,0,31,20546.804829445166,20400.134696324927,243452322.66666666,245096432.0,438.9936932364616,11565145045,5000
arc,5000,1,1,0,5000,5000,0,31,8288277.691447064,8269678.987301197,603404.5128501111,604618.3909313725,130150.25041672657,160000,5000
clone,5000,1,1,0,5000,5000,0,31,13247485.525989166,13250495.48108966,377519.51200724114,377344.99359509884,207570.8292056839,0,5000
slice,5000,1,1,0,5000,5000,0,31,13201941.685621953,13176272.58654851,378815.0346454988,379471.0908653846,198524.8056400834,0,5000
rc,5000,1,1,0,5000,5000,0,32,7975480.343084805,8019520.1677458435,628210.5936941246,623478.7094336187,332582.65725088393,160000,5000
legacy,5000,1,1,0,5000,5000,0,32,20224.43711592315,20082.184870014396,247368064.86666667,248976893.5,496.39265664782806,11938214240,5000
arc,5000,1,1,0,5000,5000,0,32,8052895.134796364,8077995.8975123875,621869.9085225832,618966.1397750323,300874.7115791031,160000,5000
clone,5000,1,1,0,5000,5000,0,32,12911611.797444703,13019106.820518546,388280.22015723784,384050.937037037,600556.2803620617,0,5000
